	Domain	Phylum 	Class	Order	Family	Genus	Species
N1N2_SNV4030	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4055	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV4078	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV4079	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4104	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C
N1N2_SNV4122	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV4123	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV4125	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4134	Eukaryota	new_euk_A					
N1N2_SNV4151	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV4172	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4174	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4215	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV4228	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI
N1N2_SNV4231	Eukaryota	Haptophyta					
N1N2_SNV4244	Eukaryota	Haptophyta					
N1N2_SNV4291	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4292	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4303	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIII
N1N2_SNV4306	Eukaryota	Haptophyta					
N1N2_SNV4307	Eukaryota	Haptophyta					
N1N2_SNV4333	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4361	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C
N1N2_SNV4396	Eukaryota	Haptophyta					
N1N2_SNV4433	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4441	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4443	Eukaryota	Stramenopiles	Bacillariophyceae	Corethrales	Corethraceae	Corethron	
N1N2_SNV4486	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV4507	Eukaryota	Haptophyta					
N1N2_SNV4520	Eukaryota	Haptophyta					
N1N2_SNV4542	Eukaryota	Haptophyta					
N1N2_SNV4548	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV4563	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI
N1N2_SNV4576	Eukaryota	Stramenopiles	Bacillariophyceae				
